STATION,DATE,PRCP,TMAX,TMIN
GHCND:USW00014739,20140409,0,150,50
GHCND:USW00014739,20140410,0,156,11
GHCND:USW00014739,20140411,0,206,89
GHCND:USW00014739,20140412,10,206,94
GHCND:USW00014739,20140413,10,172,72
GHCND:USW00014739,20140414,0,239,139
GHCND:USW00014739,20140415,157,200,50
GHCND:USW00014739,20140416,91,72,-5
GHCND:USW00014739,20140417,0,44,0
GHCND:USW00014739,20140418,0,56,-5
GHCND:USW00014739,20140419,0,172,28
GHCND:USW00014739,20140420,0,89,39
GHCND:USW00014739,20140421,0,206,22
GHCND:USW00014739,20140422,13,228,83
GHCND:USW00014739,20140423,58,139,78